Started Date,Completed Date,,name,Des,expense,co,value
2023-05-21 00:54:18,2023-05-21 00:54:18,,Savings,Exchanged to EUR Savings,-0.75,0.10,0.75
2023-05-21 14:08:41,2023-05-21 14:08:41,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-21 14:15:35,2023-05-21 14:15:35,,Savings,Exchanged to EUR Savings,-0.09,0.10,0.09
2023-05-21 14:40:20,2023-05-21 14:40:20,,Savings,Exchanged to EUR Savings,-1.77,0.10,1.77
2023-05-22 08:09:46,2023-05-22 08:09:46,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-22 08:56:07,2023-05-22 08:56:07,,Savings,Exchanged to EUR Savings,-1.20,0.10,1.20
2023-05-22 12:43:48,2023-05-22 12:43:48,,Savings,Exchanged to EUR Savings,-0.45,0.10,0.45
2023-05-22 16:03:46,2023-05-22 16:03:46,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-22 19:26:29,2023-05-22 19:26:29,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-23 00:57:22,2023-05-23 00:57:22,,Savings,Exchanged to EUR Savings,-0.75,0.10,0.75
2023-05-23 05:15:27,2023-05-23 05:15:27,,Savings,Exchanged to EUR Savings,-1.98,0.10,1.98
2023-05-23 11:28:31,2023-05-23 11:28:31,,Savings,Exchanged to EUR Savings,-1.20,0.10,1.20
2023-05-23 15:16:34,2023-05-23 15:16:34,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-23 15:31:23,2023-05-23 15:31:23,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-23 18:27:25,2023-05-23 18:27:25,,Savings,Exchanged to EUR Savings,-1.50,0.10,1.50
2023-05-24 01:05:56,2023-05-24 01:05:56,,Savings,Exchanged to EUR Savings,-0.75,0.10,0.75
2023-05-30 17:19:14,2023-05-30 17:19:14,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-30 18:58:14,2023-05-30 18:58:14,,Savings,Exchanged to EUR Savings,-2.70,0.10,2.70
2023-05-30 20:29:31,2023-05-30 20:29:31,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-30 21:39:39,2023-05-30 21:39:39,,Savings,Exchanged to EUR Savings,-2.25,0.10,2.25
2023-05-31 02:43:49,2023-05-31 02:43:49,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-31 12:27:54,2023-05-31 12:27:54,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-31 16:58:27,2023-05-31 16:58:27,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-03 01:05:05,2023-05-03 13:57:11,,Transport,Tfl Travel Charge,-11.50,9.20,11.50
2023-05-05 01:09:14,2023-05-05 15:33:08,,Transport,Tfl Travel Charge,-6.75,5.40,6.75
2023-05-06 01:03:20,2023-05-06 15:31:59,,Transport,Tfl Travel Charge,-9.60,7.68,9.60
2023-05-08 00:37:33,2023-05-08 14:25:06,,Transport,Tfl Travel Charge,-3.50,2.80,3.50
2023-05-10 01:11:49,2023-05-10 14:39:01,,Transport,Tfl Travel Charge,-9.60,7.68,9.60
2023-05-11 01:12:40,2023-05-11 14:56:37,,Transport,Tfl Travel Charge,-9.60,7.68,9.60
2023-05-12 01:10:21,2023-05-12 13:50:15,,Transport,Tfl Travel Charge,-9.60,7.68,9.60
2023-05-12 08:41:42,2023-05-13 14:58:10,,Transport,Human Forest,-5.23,4.18,5.23
2023-05-13 00:51:56,2023-05-13 15:24:46,,Transport,Tfl Travel Charge,-1.75,1.40,1.75
2023-05-14 00:50:15,2023-05-14 14:09:33,,Transport,Tfl Travel Charge,-3.50,2.80,3.50
2023-05-16 00:58:08,2023-05-16 16:43:05,,Transport,Tfl Travel Charge,-6.30,5.04,6.30
2023-05-18 01:08:35,2023-05-18 15:07:56,,Transport,Tfl Travel Charge,-3.50,2.80,3.50
2023-05-17 01:07:14,2023-05-18 16:02:55,,Transport,Tfl Travel Charge,-9.60,7.68,9.60
2023-05-19 01:10:21,2023-05-19 14:34:23,,Transport,Tfl Travel Charge,-6.75,5.40,6.75
2023-05-20 01:00:20,2023-05-20 15:02:19,,Transport,Tfl Travel Charge,-1.75,1.40,1.75
2023-05-21 00:54:18,2023-05-21 13:44:09,,Transport,Tfl Travel Charge,-1.75,1.40,1.75
2023-05-20 12:55:32,2023-05-21 14:37:35,,Transport,Human Forest,-9.06,7.25,9.06
2023-05-23 00:57:22,2023-05-23 13:57:52,,Transport,Tfl Travel Charge,-7.75,6.20,7.75
2023-05-24 01:05:56,2023-05-24 13:18:25,,Transport,Tfl Travel Charge,-6.75,5.40,6.75
